# x_1,x_2,Class_label
-4.04137872e+02,-1.41274388e+02,0
-8.87357853e+00,1.32834677e+02,2
-3.95737004e+02,-1.46019810e+02,0
1.75214771e+01,-1.36475116e+02,1
3.87022247e+01,1.40149290e+02,2
-1.64780226e+01,1.67889590e+02,2
6.05708266e+01,-1.56813483e+02,1
-4.11847155e+02,-1.30817741e+02,0
3.98573116e+01,-1.45081422e+02,1
5.32595615e+01,-1.56248753e+02,1
-4.04501384e+00,1.46125661e+02,2
3.19666986e+01,-1.37415949e+02,1
3.50515036e+01,-1.47785168e+02,1
-6.48753207e+01,1.33177038e+02,2
4.87910428e+00,1.89012782e+02,2
8.66999120e+01,-1.61772650e+02,1
1.13423117e+02,1.57876365e+02,2
1.23201364e+01,1.54949432e+02,2
-4.14319487e+02,-1.39287292e+02,0
1.24245516e+02,1.60018191e+02,2
9.42300181e+00,1.55325586e+02,2
3.84974791e+01,1.50504292e+02,2
-4.47886644e+01,-1.18233565e+02,1
4.87336213e+01,1.57998764e+02,2
6.91930992e+01,-1.65438667e+02,1
-3.99375625e+02,-1.23244184e+02,0
-4.09687442e+02,-1.61187289e+02,0
1.33846461e+02,1.70845057e+02,2
8.57801266e+01,-1.48766587e+02,1
-3.89091991e+02,-2.02602788e+02,0
3.93959880e+01,-1.52675548e+02,1
9.57260346e+01,1.97404247e+02,2
1.20610769e+02,1.70215682e+02,2
9.40141012e+00,1.28897982e+02,2
1.28638109e+01,-1.51961160e+02,1
-3.94563504e+01,1.24260217e+02,0
-3.84601173e+02,-1.96016446e+02,0
4.29425094e+01,-1.43297343e+02,1
-3.20582065e+01,1.51242409e+02,2
-4.01934421e+02,-1.56387329e+02,0
-3.92881019e+02,-1.49330963e+02,0
-4.20717990e+02,-1.07962555e+02,0
-3.16895359e-01,1.62959476e+02,2
-4.04374307e+02,-1.59036697e+02,0
5.65363388e+00,1.35890215e+02,2
3.14088777e+01,1.42419248e+02,2
-4.06201848e+02,-1.24160502e+02,0
3.30564126e+01,-1.39653918e+02,1
3.94939381e+01,-1.38963637e+02,1
-4.05971825e+02,-1.88077079e+02,0
-3.91965818e+02,-2.06900973e+02,2
1.10207992e+02,-1.52249877e+02,1
-4.14435517e+02,-9.76647073e+01,0
-4.12149710e+02,-1.51039430e+02,0
3.01141625e+01,1.57863709e+02,2
3.71081159e+01,1.61010553e+02,2
8.33638787e+01,-1.33679989e+02,1
1.91325967e+01,-1.35970591e+02,1
-4.25610106e+02,-1.17033025e+02,0
1.05948860e+01,1.41680029e+02,2
-4.10993451e+02,-1.45797741e+02,0
7.07967447e+00,1.52683750e+02,2
6.19617024e+01,1.65369538e+02,2
-4.12299186e+02,-1.56498439e+02,0
8.18684311e+01,1.91661938e+02,2
1.82020174e+01,1.57729368e+02,2
-1.09540631e+01,1.40724011e+02,2
5.56934365e+01,1.22206026e+02,2
8.30005062e+01,1.47030852e+02,2
3.72376882e+01,1.58514412e+02,2
-3.83872278e+02,-1.89864320e+02,0
8.49950336e+00,-1.51986659e+02,1
4.81090847e+01,-1.33345771e+02,1
-4.50748632e+02,-5.75422411e+01,0
2.02216678e+01,-1.20553964e+02,1
-4.78133052e+01,-1.10742499e+02,1
-4.03357850e+02,-1.43841372e+02,0
7.88070531e+01,1.66853728e+02,2
-4.02101676e+02,-1.53379015e+02,0
7.52578594e+01,-1.53966748e+02,1
6.80277059e+01,-1.54988056e+02,1
-4.00053576e+02,-1.50861551e+02,0
-4.14694767e+02,-1.22325528e+02,0
-4.11764909e+02,-1.47345212e+02,0
-2.02684801e+01,-1.33457850e+02,1
6.55255777e+01,1.27109862e+02,2
-3.33832667e+01,-1.08464004e+02,1
3.99037313e+01,1.35871682e+02,2
-4.17324176e+02,-1.51379562e+02,0
-4.19415993e+02,-1.00981120e+02,0
6.37418717e+01,1.58091753e+02,2
-4.05617952e+02,-1.27461263e+02,0
-4.11586387e+02,-1.03616931e+02,0
-8.18381464e+01,-8.20668741e+01,1
-3.98283739e+02,-1.56685665e+02,0
-4.20491160e+02,-1.47445401e+02,0
-4.92850683e+01,-1.20074043e+02,1
7.53262483e+01,1.94097721e+02,2
-3.92834518e+02,-1.31228052e+02,0
-4.10385623e+02,-8.17246159e+01,0
4.48574900e+01,1.29758983e+02,2
4.36596091e+01,-1.39901011e+02,1
4.23050481e+01,-1.21804090e+02,1
6.96143200e+01,-1.74907015e+02,1
-4.14605003e+02,-1.65498077e+02,0
5.51450693e+01,1.61651868e+02,2
-4.91941374e+01,-9.13816759e+01,1
2.52572274e+01,1.24559303e+02,2
-3.88145398e+02,-1.78130313e+02,0
-4.17726516e+02,-1.35944704e+02,0
-1.73901512e+01,-1.51017495e+02,1
-3.98615485e+02,-1.70574689e+02,0
7.48794280e+00,-1.35385725e+02,1
5.95600224e+00,1.37785455e+02,2
7.58458951e+01,1.72699116e+02,2
-3.92848740e+02,-1.33214495e+02,0
-4.91037219e+01,-9.26399487e+01,1
-3.92345836e+02,-1.30790886e+02,0
5.13774168e+01,-1.21468921e+02,1
-3.88644164e+02,-1.71459635e+02,0
3.93242678e+01,-1.46746811e+02,1
2.55306135e+01,1.64280038e+02,2
-3.95582124e+01,1.25166797e+02,2
-3.24066834e+01,1.46529226e+02,2
3.11378335e+00,1.56141583e+02,1
1.15005518e+01,-1.93386802e+02,1
-4.07021614e+02,-9.84430657e+01,0
-1.09671403e+01,-1.56754725e+02,1
9.32312042e+01,1.75517569e+02,2
7.99205625e+01,-1.68872772e+02,1
-4.10990292e+02,-1.91750002e+02,0
2.25743602e+00,-1.17602918e+02,1
8.68911614e+01,-1.54362395e+02,1
3.29749921e+01,-1.60071530e+02,1
1.02248098e+02,-1.75027908e+02,1
-4.92681200e+01,1.35904219e+02,2
2.52173175e+01,-1.36918904e+02,1
-4.10579139e+02,-1.26971059e+02,0
2.16203177e+01,1.54179670e+02,2
5.08124132e+01,-1.72416986e+02,1
-4.33688718e+02,-1.04085945e+02,0
-4.04009227e+02,-1.60867277e+02,0
-4.23978840e+02,-1.16777514e+02,0
-6.05570377e+01,1.50898361e+02,0
-4.03204299e+02,-1.27193288e+02,0
-4.04841095e+02,-1.26064248e+02,0
-3.94413756e+02,-1.97812080e+02,0
-4.03843940e+02,-1.43845960e+02,0
-4.20861323e+02,-1.19861332e+02,0
1.32781463e+01,-1.17943010e+02,1
1.36490744e+01,1.44604188e+02,2
-4.76649222e+01,-9.97289820e+01,1
8.32436237e+01,1.42736592e+02,2
3.07579315e+01,1.55370306e+02,2
7.52324896e+01,-1.37013907e+02,1
9.65450009e+01,1.76993934e+02,2
