# x_1,x_2,Class_label
-8.14040823e-01,5.99910918e-01,0
-4.41321673e-01,-1.87616425e-01,1
-9.55067756e-01,3.53409665e-01,0
-1.01684160e+00,-1.47238332e-01,0
3.55833728e-01,2.09598285e-01,1
6.10906021e-01,-1.60300333e-02,1
6.28082569e-01,-8.26875959e-02,1
5.95420361e-01,-8.66667198e-01,0
-7.07383625e-01,-1.77141380e-01,1
4.26666046e-01,-4.80511622e-01,1
-3.33272018e-01,8.94423801e-01,0
5.10062152e-01,4.60711687e-02,1
-8.65288512e-01,4.52708574e-02,0
-5.27762747e-01,4.19383236e-01,1
3.05207949e-02,4.45790295e-01,1
-3.15264751e-01,-3.60636687e-01,1
7.53977652e-01,6.79386032e-01,0
-8.23105948e-01,6.08283498e-01,0
1.03108326e+00,3.73405977e-01,0
-6.24823201e-01,-1.92768930e-01,1
5.02374554e-02,-6.70662430e-01,1
2.19360356e-01,4.50090230e-01,1
9.21412664e-01,-3.12892275e-01,0
8.08830745e-01,-4.41444512e-01,0
1.96322673e-01,-5.16818829e-01,1
2.74541522e-01,-7.44491154e-01,1
-3.92935721e-01,-1.31280026e-01,1
-1.42609444e-01,-5.93523586e-01,1
-1.53384487e-01,-6.00089482e-01,1
9.29573981e-01,-4.25541062e-01,0
-9.34666912e-02,-7.12744211e-01,1
-6.22811603e-01,-6.59560014e-02,1
6.16080678e-01,2.52708713e-01,1
3.64245935e-01,-3.50405008e-01,1
-5.86522968e-01,-2.45308900e-01,1
9.73768923e-01,1.72847685e-01,0
3.40284986e-01,5.63486590e-01,1
5.85058654e-01,2.87927924e-01,1
-2.36613885e-01,7.61709819e-01,0
-6.21755547e-01,-8.91833669e-01,0
2.98167072e-01,-8.75043659e-01,0
-3.39674144e-01,7.71117134e-01,0
-2.56584782e-01,-9.80996838e-01,0
8.22755375e-01,3.72104776e-01,0
-6.49448026e-01,-7.74815592e-01,0
3.50914199e-01,3.54255640e-01,1
-2.05933772e-01,5.11984048e-01,1
-7.32818051e-01,5.37049123e-02,1
1.15007053e-01,-6.56981717e-01,1
6.09121868e-01,8.26049324e-01,0
1.46087835e-01,-1.05161300e+00,0
-5.03446728e-01,5.24188560e-02,1
-1.10258099e+00,9.64842381e-02,0
6.69024407e-02,-6.11662276e-01,1
4.52523699e-01,1.21188524e-01,1
2.22619563e-01,-8.26740345e-01,0
-3.57333464e-01,9.55152012e-01,0
-1.10399988e+00,-3.02351434e-01,0
8.69834824e-02,-9.10232949e-01,0
-8.63768691e-01,-6.15039506e-01,0
6.49202261e-01,-7.45512052e-01,0
-9.82568866e-01,-4.43246965e-01,0
2.46394373e-01,-6.56506771e-01,1
-1.29355401e-01,5.35916503e-01,1
-2.69375433e-01,5.87399572e-01,1
-6.57058026e-01,-8.07342025e-01,0
-3.03693656e-01,5.39384808e-01,1
2.27100667e-01,-9.30627639e-01,0
-2.57156746e-01,7.58707738e-01,0
-2.82663605e-01,5.18227675e-01,1
1.04192707e-01,-9.71677370e-01,0
2.99549619e-01,-5.87031914e-01,1
4.79889094e-01,8.50338052e-01,0
2.10537289e-02,5.42980403e-01,1
-9.03342440e-01,-1.20648943e-01,0
-3.54986131e-01,-1.57852368e-01,1
2.00671615e-01,-5.08546477e-01,1
9.66884924e-01,-8.98606999e-02,0
-5.89145359e-02,-9.81467984e-01,0
-1.65299780e-01,1.05716095e+00,0
4.50345122e-01,2.72713442e-01,1
6.03461550e-01,-8.13768944e-01,0
-1.69448670e-01,-6.88539398e-01,1
4.16431093e-01,4.30451564e-01,1
-6.50987282e-01,5.72403178e-01,0
-2.74737648e-01,5.14363000e-01,1
-1.40653979e-01,5.89669935e-01,1
-4.94875239e-01,-3.03951391e-03,1
4.06495574e-01,-4.94101111e-01,1
4.36135199e-01,-8.78220967e-01,0
-1.24602790e-01,6.14975914e-01,1
4.91172311e-01,-9.61502781e-01,0
-3.63452668e-01,-5.92182471e-01,1
1.13149670e+00,3.00549574e-01,0
-6.96621237e-01,6.30067295e-01,0
-5.67609366e-01,-7.47201359e-01,0
7.16137762e-01,-5.47759210e-01,0
-5.70782149e-01,-2.94255510e-01,1
-9.78491126e-02,-5.74479162e-01,1
2.57179114e-01,5.70495065e-01,1
9.38192461e-01,-2.94196441e-01,0
7.62340256e-01,-8.93165602e-01,0
7.82250797e-02,1.00343874e+00,0
9.45775993e-01,-1.03108022e-02,0
-1.97624821e-01,1.03159646e+00,0
-4.18593973e-01,-9.76251028e-01,0
-7.09750704e-01,3.94122898e-01,1
-6.80822659e-01,1.41796798e-01,1
-5.13419024e-01,8.40704610e-02,1
-8.61715603e-01,-4.47562630e-01,0
3.44601650e-01,1.61007187e-01,1
-4.47057167e-01,-3.33178802e-01,1
-1.01884298e+00,1.26733643e-01,0
-9.28003818e-01,-7.17776568e-01,0
